n,tousen
10796,0.908855
10797,0.908864
10798,0.908872
10799,0.90888
10800,0.908796
10801,0.908805
10802,0.908813
10803,0.908822
10804,0.90883
10805,0.908839
10806,0.908847
10807,0.908855
10808,0.908771
10809,0.90878
10810,0.908788
10811,0.908797
10812,0.908713
10813,0.908629
10814,0.908637
10815,0.908645
10816,0.908561
10817,0.90857
10818,0.908578
10819,0.908587
10820,0.908595
10821,0.908604
10822,0.908612
10823,0.908621
10824,0.908629
10825,0.908637
10826,0.908646
10827,0.908654
10828,0.908663
10829,0.908671
10830,0.90868
10831,0.908688
10832,0.908696
10833,0.908613
10834,0.908529
10835,0.908537
10836,0.908546
10837,0.908554
10838,0.908562
10839,0.908571
10840,0.908487
10841,0.908496
10842,0.908504
10843,0.908512
10844,0.908521
10845,0.908529
10846,0.908538
10847,0.908546
10848,0.908462
10849,0.908471
10850,0.908479
10851,0.908396
10852,0.908404
10853,0.90832
10854,0.908237
10855,0.908153
10856,0.908161
10857,0.908078
10858,0.908086
10859,0.908095
10860,0.908103
10861,0.908112
10862,0.90812
10863,0.908129
10864,0.908137
10865,0.908145
10866,0.908154
10867,0.908162
10868,0.908171
10869,0.908179
10870,0.908188
10871,0.908196
10872,0.908113
10873,0.908121
10874,0.908129
10875,0.908138
10876,0.908146
10877,0.908155
10878,0.908163
10879,0.90808
10880,0.908088
10881,0.908097
10882,0.908013
10883,0.908022
10884,0.90803
10885,0.908039
10886,0.908047
10887,0.908055
10888,0.908064
10889,0.908072
10890,0.908081
10891,0.908089
10892,0.908098
10893,0.908106
10894,0.908115
10895,0.908123
10896,0.908131
10897,0.90814
10898,0.908148
10899,0.908157
10900,0.908073
10901,0.908082
10902,0.90809
10903,0.908099
10904,0.908107
10905,0.908116
10906,0.908124
10907,0.908132
10908,0.908141
10909,0.908149
10910,0.908158
10911,0.908074
10912,0.908083
10913,0.908091
10914,0.9081
10915,0.908108
10916,0.908117
10917,0.908033
10918,0.908042
10919,0.90805
10920,0.908059
10921,0.908067
10922,0.908075
10923,0.908084
10924,0.908092
10925,0.908101
10926,0.908109
10927,0.908118
10928,0.908126
10929,0.908134
10930,0.908143
10931,0.908151
10932,0.90816
10933,0.908168
10934,0.908176
10935,0.908185
10936,0.908193
10937,0.908202
10938,0.90821
10939,0.908218
10940,0.908227
10941,0.908235
10942,0.908243
10943,0.908252
10944,0.90826
10945,0.908177
10946,0.908186
10947,0.908194
10948,0.908202
10949,0.908211
10950,0.908219
10951,0.908228
10952,0.908236
10953,0.908244
10954,0.908253
10955,0.908261
10956,0.908269
10957,0.908278
10958,0.908286
10959,0.908295
10960,0.908303
10961,0.90822
10962,0.908228
10963,0.908237
10964,0.908245
10965,0.908254
10966,0.908262
10967,0.90827
10968,0.908187
10969,0.908105
10970,0.908113
10971,0.908121
10972,0.90813
10973,0.908138
10974,0.908147
10975,0.908155
10976,0.908163
10977,0.908172
10978,0.90818
10979,0.908188
10980,0.908197
10981,0.908205
10982,0.908213
10983,0.908222
10984,0.90823
10985,0.908239
10986,0.908247
10987,0.908255
10988,0.908264
10989,0.908272
10990,0.90828
10991,0.908289
10992,0.908297
10993,0.908305
10994,0.908314
10995,0.908231
10996,0.908239
10997,0.908248
10998,0.908256
10999,0.908264
11000,0.908273
11001,0.908281
11002,0.908289
11003,0.908298
11004,0.908306
11005,0.908224
11006,0.908232
11007,0.90824
11008,0.908158
11009,0.908075
11010,0.908084
