n,tousen
11372,0.106138
11373,0.106129
11374,0.106207
11375,0.106286
11376,0.106276
11377,0.106267
11378,0.106258
11379,0.106248
11380,0.106239
11381,0.10623
11382,0.106308
11383,0.106299
11384,0.10629
11385,0.10628
11386,0.106271
11387,0.106262
11388,0.106252
11389,0.106243
11390,0.106234
11391,0.106224
11392,0.106215
11393,0.106206
11394,0.106196
11395,0.106187
11396,0.106178
11397,0.106168
11398,0.106159
11399,0.10615
11400,0.10614
11401,0.106131
11402,0.106209
11403,0.1062
11404,0.106191
11405,0.106181
11406,0.106172
11407,0.106163
11408,0.106154
11409,0.106144
11410,0.106135
11411,0.106126
11412,0.106116
11413,0.106107
11414,0.106098
11415,0.106088
11416,0.106079
11417,0.106157
11418,0.106148
11419,0.106139
11420,0.10613
11421,0.10612
11422,0.106111
11423,0.106102
11424,0.106092
11425,0.106083
11426,0.106074
11427,0.106065
11428,0.106055
11429,0.106046
11430,0.106037
11431,0.106027
11432,0.106018
11433,0.106096
11434,0.106087
11435,0.106078
11436,0.106069
11437,0.106059
11438,0.10605
11439,0.106041
11440,0.106119
11441,0.10611
11442,0.1061
11443,0.106091
11444,0.106082
11445,0.106073
11446,0.106063
11447,0.106054
11448,0.106045
11449,0.106035
11450,0.106026
11451,0.106017
11452,0.106008
11453,0.105998
11454,0.105989
11455,0.106067
11456,0.106058
11457,0.106136
11458,0.106127
11459,0.106117
11460,0.106108
11461,0.106099
11462,0.10609
11463,0.10608
11464,0.106071
11465,0.106062
11466,0.106053
11467,0.106043
11468,0.106034
11469,0.106025
11470,0.106016
11471,0.106006
11472,0.105997
11473,0.105988
11474,0.105979
11475,0.105969
11476,0.10596
11477,0.105951
11478,0.105942
11479,0.105933
11480,0.105923
11481,0.105914
11482,0.105905
11483,0.105896
11484,0.105886
11485,0.105877
11486,0.105868
11487,0.105859
11488,0.105937
11489,0.105927
11490,0.105918
11491,0.105909
11492,0.1059
11493,0.105891
11494,0.105881
11495,0.105959
11496,0.10595
11497,0.106028
11498,0.106105
11499,0.106096
11500,0.106087
11501,0.106078
11502,0.106069
11503,0.106059
11504,0.10605
11505,0.106041
11506,0.106032
11507,0.106022
11508,0.106013
11509,0.106004
11510,0.105995
11511,0.105986
11512,0.105976
11513,0.105967
11514,0.105958
11515,0.105949
11516,0.10594
11517,0.10593
11518,0.105921
11519,0.105912
11520,0.105903
11521,0.105894
11522,0.105884
11523,0.105875
11524,0.105866
11525,0.105857
11526,0.105848
11527,0.105838
11528,0.105829
11529,0.10582
11530,0.105811
11531,0.105802
11532,0.105793
11533,0.105783
11534,0.105774
11535,0.105765
11536,0.105756
11537,0.105747
11538,0.105738
11539,0.105728
11540,0.105719
11541,0.10571
11542,0.105701
11543,0.105692
11544,0.105683
11545,0.105673
11546,0.105664
11547,0.105655
11548,0.105646
11549,0.105637
11550,0.105628
11551,0.105619
11552,0.105609
11553,0.1056
11554,0.105591
11555,0.105582
11556,0.105573
11557,0.105564
11558,0.105641
11559,0.105632
11560,0.105623
11561,0.105614
11562,0.105605
11563,0.105595
11564,0.105586
11565,0.105577
11566,0.105568
11567,0.105559
11568,0.10555
11569,0.105541
11570,0.105532
11571,0.105522
11572,0.105513
11573,0.105504
11574,0.105495
11575,0.105486
11576,0.105477
11577,0.105468
11578,0.105545
11579,0.105536
11580,0.105613
11581,0.105604
11582,0.105681
11583,0.105672
11584,0.105663
11585,0.105654
11586,0.105645
11587,0.105636
11588,0.105713
11589,0.105704
11590,0.105695
11591,0.105685
11592,0.105676
11593,0.105753
11594,0.105744
11595,0.105735
11596,0.105726
11597,0.105717
11598,0.105708
11599,0.105699
11600,0.105776
11601,0.105767
11602,0.105844
11603,0.105835
11604,0.105826
11605,0.105903
11606,0.10598
11607,0.105971
11608,0.105961
11609,0.105952
11610,0.105943
11611,0.105934
11612,0.105925
11613,0.105916
11614,0.105907
11615,0.105898
11616,0.105888
11617,0.105879
11618,0.10587
11619,0.105861
11620,0.105852
11621,0.105929
11622,0.10592
11623,0.105911
11624,0.105902
11625,0.105892
11626,0.105883
11627,0.105874
11628,0.105865
11629,0.105856
11630,0.105847
11631,0.105838
11632,0.105829
11633,0.10582
11634,0.105811
11635,0.105801
11636,0.105792
11637,0.105783
11638,0.105774
11639,0.105851
11640,0.105842
11641,0.105833
11642,0.105824
11643,0.105815
11644,0.105806
11645,0.105796
11646,0.105787
11647,0.105778
11648,0.105769
11649,0.10576
11650,0.105751
11651,0.105828
11652,0.105819
11653,0.10581
11654,0.105801
11655,0.105792
11656,0.105782
11657,0.105773
11658,0.105764
11659,0.105755
11660,0.105832
11661,0.105823
11662,0.105814
11663,0.105805
11664,0.105796
11665,0.105787
11666,0.105777
11667,0.105768
11668,0.105759
11669,0.10575
11670,0.105827
11671,0.105818
11672,0.105809
11673,0.1058
11674,0.105791
11675,0.105782
11676,0.105773
11677,0.105849
11678,0.10584
11679,0.105831
11680,0.105822
11681,0.105813
11682,0.105804
11683,0.105795
11684,0.105871
11685,0.105862
11686,0.105853
11687,0.105844
11688,0.105835
11689,0.105826
11690,0.105817
11691,0.105808
11692,0.105799
11693,0.10579
11694,0.105781
11695,0.105772
11696,0.105763
11697,0.105754
11698,0.10583
11699,0.105821
11700,0.105812
11701,0.105803
11702,0.105879
11703,0.10587
11704,0.105947
11705,0.105938
11706,0.105929
11707,0.10592
11708,0.10591
11709,0.105901
11710,0.105892
11711,0.105883
11712,0.105874
11713,0.105865
11714,0.105856
11715,0.105847
11716,0.105838
11717,0.105829
11718,0.10582
11719,0.105896
11720,0.105887
11721,0.105878
11722,0.105869
11723,0.10586
11724,0.105851
11725,0.105928
11726,0.105918
11727,0.105995
11728,0.105986
11729,0.106062
11730,0.106053
11731,0.106044
11732,0.106035
11733,0.106026
11734,0.106017
11735,0.106093
11736,0.106084
11737,0.106075
11738,0.106066
11739,0.106057
11740,0.106133
11741,0.106124
11742,0.1062
11743,0.106191
11744,0.106182
11745,0.106173
11746,0.106164
11747,0.106155
